order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
7,8,Cancelled,F,2023-09-06 10:43:00 UTC,,,,1
40,36,Cancelled,F,2023-07-08 04:49:00 UTC,,,,2
43,37,Cancelled,F,2023-12-04 05:29:00 UTC,,,,1
59,50,Cancelled,F,2022-03-21 08:06:00 UTC,,,,1
77,63,Cancelled,F,2024-02-04 15:21:00 UTC,,,,1
87,68,Cancelled,F,2023-06-21 06:05:00 UTC,,,,1
94,74,Cancelled,F,2022-08-02 08:39:00 UTC,,,,2
119,90,Cancelled,F,2023-09-27 10:37:00 UTC,,,,2
162,124,Cancelled,F,2024-01-26 07:38:00 UTC,,,,1
166,129,Cancelled,F,2024-01-31 05:50:00 UTC,,,,1
167,130,Cancelled,F,2024-05-06 01:35:30.24955 UTC,,,,2
174,138,Cancelled,F,2022-08-07 14:56:00 UTC,,,,1
180,142,Cancelled,F,2024-04-10 04:28:00 UTC,,,,1
190,153,Cancelled,F,2021-09-10 16:56:00 UTC,,,,1
209,171,Cancelled,F,2022-08-04 05:51:00 UTC,,,,1
219,178,Cancelled,F,2022-08-12 12:15:00 UTC,,,,1
233,186,Cancelled,F,2024-04-03 07:17:00 UTC,,,,2
241,190,Cancelled,F,2021-05-20 06:29:00 UTC,,,,1
253,197,Cancelled,F,2020-04-13 16:18:00 UTC,,,,1
266,207,Cancelled,F,2022-04-18 06:53:00 UTC,,,,1
291,223,Cancelled,F,2024-05-06 18:14:32.774646 UTC,,,,1
309,232,Cancelled,F,2023-10-25 00:12:00 UTC,,,,1
318,239,Cancelled,F,2023-12-14 01:31:00 UTC,,,,1
335,250,Cancelled,F,2024-05-09 11:09:33.514413 UTC,,,,2
346,263,Cancelled,F,2021-02-07 10:51:00 UTC,,,,1
350,267,Cancelled,F,2023-12-12 16:44:00 UTC,,,,2
372,281,Cancelled,F,2023-09-27 12:33:00 UTC,,,,2
375,284,Cancelled,F,2021-11-28 04:58:00 UTC,,,,1
402,308,Cancelled,F,2023-09-19 15:06:00 UTC,,,,1
429,322,Cancelled,F,2023-07-03 02:10:00 UTC,,,,1
442,330,Cancelled,F,2023-08-26 12:11:00 UTC,,,,1
461,343,Cancelled,F,2019-09-11 11:46:00 UTC,,,,1
463,346,Cancelled,F,2023-10-05 07:30:00 UTC,,,,1
478,358,Cancelled,F,2022-11-23 04:05:00 UTC,,,,1
479,358,Cancelled,F,2022-06-04 04:05:00 UTC,,,,1
487,365,Cancelled,F,2023-07-15 15:15:00 UTC,,,,1
500,375,Cancelled,F,2023-02-02 07:07:00 UTC,,,,1
522,387,Cancelled,F,2021-10-12 13:46:00 UTC,,,,3
549,410,Cancelled,F,2023-11-10 06:13:00 UTC,,,,1
599,451,Cancelled,F,2024-01-07 03:11:00 UTC,,,,1
633,471,Cancelled,F,2023-07-18 03:35:00 UTC,,,,2
644,480,Cancelled,F,2023-11-17 16:25:00 UTC,,,,1
679,508,Cancelled,F,2023-02-11 06:26:00 UTC,,,,1
696,521,Cancelled,F,2022-10-01 03:51:00 UTC,,,,4
705,527,Cancelled,F,2023-06-14 17:23:00 UTC,,,,2
707,530,Cancelled,F,2024-01-02 06:14:00 UTC,,,,1
708,530,Cancelled,F,2023-10-17 06:14:00 UTC,,,,1
715,538,Cancelled,F,2020-11-17 01:32:00 UTC,,,,2
745,556,Cancelled,F,2022-03-26 18:16:00 UTC,,,,4
765,569,Cancelled,F,2023-05-15 14:54:00 UTC,,,,1
766,570,Cancelled,F,2022-02-23 00:54:00 UTC,,,,2
772,574,Cancelled,F,2023-03-04 14:44:00 UTC,,,,4
789,589,Cancelled,F,2020-09-22 01:12:00 UTC,,,,1
796,596,Cancelled,F,2019-10-12 18:25:00 UTC,,,,4
797,597,Cancelled,F,2020-06-12 15:41:00 UTC,,,,1
817,617,Cancelled,F,2023-12-24 07:02:00 UTC,,,,1
830,625,Cancelled,F,2020-10-25 02:27:00 UTC,,,,1
